parcel,value
0010002007300,1830
0020002040200,6160
0180001007300,4090
0260001006700,
0350001006400,8400
0360004005400,4410
0370001031900,
0380A03028100,2970
0390003003700,
0390003004600,1980
0400005012400,3390
0420008004400,5120
0460003003200,1800
0460003011700,4060
0460003020200,
0490004011400,2940
0490004014400,4910
0510010009100,2970
0530006000800,20390
0970001009000,
0980005005700,1360
1120006012100,
1130001005200,4720
1170A07028400,5910
1210001013300,4290
1210001038000,4240
1230001006100,6320
1280001014500,4780
1300004000700,1060
1310007032000,3840
1780025011300,3310
1780026001600,8320
1790075036800,1930
1820005011600,2600
1950030003400,4060
1950032006000,4410
2020031017700,9500
2040A15010500,3050
2060014002500,7030
2100078001100,5260
2100078003900,5290
2110068005400,2820
2140006002700,4170
2140006007500,3330
2180057012700,4210
2210019007500,1010
2240006008400,12460
2260004010700,46120
2340001006600,4300
2370003007400,1910
2380005003000,1840
2450002005600,1470
2470002010800,
2470005024500,3950
5000040011400,18430
5000043027400,13440
5000044007600,6940
5000045018500,8990
5000045024300,9610
5000050007500,
5000060030800,
5000112001300,8690
5000112017400,44450
5000124020000,7990
5000201015700,1420
5000230011400,
5000230011800,
5000230013600,
5000301004100,40900
5000301009100,49180
5000360013200,12370
5100011028300,3120
5100014005600,11890
5100014006700,12140
5100042040800,
5100051040000,3640
5100052042900,4940
5100054035900,6730
5100070007300,4120
5100071013200,4260
5100071046000,8350
5100073017500,1000
5100081061400,8700
5100082005700,
5100091011000,4770
5100091014100,1310
5100112005800,4480
5100140005000,17990
5100184022800,
5100212015400,15000
5100320013800,
5100360016300,6370
5200170007500,5900
5250007035700,28120
5250008007500,8360
5260040003200,63040
5260090005400,6960
5260120033100,31660
5280001013700,2040
5280003049800,2240
5290081004500,56990
5300050013300,
5400031010800,13880
5400041049000,6400
5400043016800,1200
5400050030100,780
5400071022900,2500
5400071028500,7620
5400072029200,8000
5500010057200,1000
5500091013200,
5500113016900,15270
5500132004800,6590
5500140034000,7160
5500160001200,6970
5500172067000,7250
5500221008300,1850
5500234007000,28720
5500242008100,5720
5500280037300,3210
5500321011500,630
5510005000300,2670
5600170010500,
5610001017500,2050
5610002046200,3930
5610009022400,9220
5700040025300,6080
5700054003200,
5720009017600,1520
5730011001200,
5820014039300,2240
5900090000800,7520
5900162008400,8840
5900210011600,9740
5900212006200,3180
5900212031200,10600
5900221001400,8330
5900222002800,3870
5900230038900,6080
5900233009200,3080
5900351002700,4910
5900360007400,2960
5900360019000,3510
5900391012600,5850
5900392025400,5450
5910008003700,7890
5910010018700,11440
5910012007400,6650
5910021009200,41860
5910022014300,5610
5910A07012200,8280
5920003001600,5910
5920007016000,970
5920015002800,3200
5920024002000,53920
5930008002000,3030
5940050026000,
5940050028100,740
5950001011200,5440
5950001061300,3520
5950004019700,830
5950008035400,3220
5950008062200,1630
5980061000600,3430
5990031009500,6610
5990031027900,1680
5990032010800,3300
6000093020800,12770
6000231024700,4820
6030009017200,3160
6030009023200,
6030013004700,6130
6030025006400,76670
6080007013200,7640
6080017032600,5200
6080023007700,7760
6090015011800,3020
6110012007400,117970
6110020017900,12740
6120010010700,4420
6120050025100,2170
6120080046000,26640
6120131010900,8170
6120170055500,
6200092020900,
6210007002100,5150
6210007006300,5540
6210012004100,10790
6210012012200,6810
6210012025600,8180
6210018002300,9360
6210020002300,27190
6300150009200,12320
6410003001500,3000
6410004002200,2890
6510003006200,3530
6510003008600,1730
6510030019600,2780
6610002039600,2600
6710025008900,11730
